{
  {9,9,30,120,"hjjjgXXXXk@  kXXXXk $$kXhjgk $ kXk.king ijf.kXmf    .kXk   b  kXk   mjjfXijjjfXXX"},
  {10,9,90,150,"hjjjjjjjjgk..      kk..$  b  kk  a$cf hfk $     kXijnje a kXXXk $ @ kXXXk     kXXXijjjjjfX"},
  {6,8,30,50,"XhjjgXhf  kXk@$ kXmg$ igmf $ kk.$  kk..*.kijjjjf"},
  {8,8,40,80,"XhjjngXXXk@ ilgXXk $  kXhlg b igk.d d  kk.$  a kk.   $ kijjjjjjf"},
  {10,7,60,150,"XhjjjjjgXXXk     ijghf$cje   kk @ $  $ kk ..b $ hfig..k   kXXijjljjjfX"},
  {11,13,180,180,"XXXXXXXhjjgXXXXXXXk@ kXXXhjjjf  khjjf      kk   .cje hok b a    iok k $ $a. kk d  *  b kk .a$ $ k kig    a d kXk cje.   kXk     hjjfXijjjjjfXXX"},
  {10,8,120,140,"XXXhjjnjjgXXhf  k @kXXk   d  kXXk$ $ $ kXXk $cg  khjf $ d hfk.....  kXijjjjjjjfX"},
  {10,7,80,90,"XXXhjjjjgXXhjf    kXhf. $ce igk..$ $  @kk.. $ $ hfijjjg   kXXXXXijjjfX"},
  {11,9,180,260,"XhjjnnjjjgXXk  if   kXXk   $   kXXk$ cje $kXXk b...b kXhf d...d igk $  $  $ kk     b @ kijjjjjljjjf"},
  {8,7,45,60,"XXhjjjjgXXk    khjf$$$ kk@ $.. kk $...hfijjg  kXXXXijjfX"},
  {12,6,45,90,"XhjjgXXhjjjghf  kXXk   kk $ ijjf$  kk  $.... $ kig    b @ hfXijjjjljjjfX"},
  {20,11,180,330,"XXXXhjjjgXXXXXXXXXXXXXXXk   kXXXXXXXXXXXXXXXk$  kXXXXXXXXXXXXXhjf  $ijgXXXXXXXXXXXk  $  $ kXXXXXXXXXhjf b hng kXXXhjjjjgk   d ilf ijjjf  ..kk $  $           ..kijjjg cjje b@hg  ..kXXXXk      mjlljjjjfXXXXijjjjjjfXXXXXXXX"},
  {8,7,50,50,"XXhjjjgXhjf  @kXk  $. igk  .$. kijg *$ kXXk   hfXXijjjfX"},
  {20,9,240,500,"hjjjjgXXXXXXXXXXXXXXk    ijgXXXXXhjjjjgXk b  $ kXXhjno  ..kXk d  $ ijjf@if  ..igk  $$$   $      ...kijg  $  $hjjjg  ..hfXXk$ $ $ kXXXk  ..kXXXk      kXXXijjjjfXXXijjjjjjfXXXXXXXXXX"},
  {10,8,90,100,"XXhjjgXXXXXXk..kXXXXXhf .igXXXXk  $.kXXXhf $  igXXk  a$$ kXXk  @   kXXijjjjjjfXX"},
  {20,13,240,1000,"XXXXXXXXXXXXXXhjjjjgXXXXXXXXXXXXXXk  ..kXXXhjjjjnjjjjjf  ..kXXXk    k  $ $   ..kXXXk $$$d$  $ b  ..kXXXk  $     $ k....kXXXk $$ b$ $ $k....khjjf  $ k     k....kk   a cjpnjjjjljjjjfk    $  ioXXXXXXXXXXk $$b$$ @kXXXXXXXXXXk   k   hfXXXXXXXXXXijjjljjjfXXXXXXXXXXX"},
  {10,9,80,160,"XXhjjjjgXXXXk    ijgXXk $    khjf $ ce kk... $   kk...$b$ coijjg d $ kXXXk  @  kXXXijjjjjf"},
  {10,9,100,150,"XXhjjjnjjgXXk   d. kXhf  $...kXk  $ b*.khf ce$d cok   $  $ kk   b    kijjjljg@ kXXXXXXijjf"},
